Notable companies,,,,,,,,,,,,,
Name,Industry,Sector,Headquarters,Founded,Notes,,,,,,,,
Shui On Land,Financials,Real estate holding & development,Shanghai,2004,Real estate,,,,,,,,
Sichuan Airlines,Consumer services,Airlines,Chengdu,1986,Airline,,,,,,,,
Simcere Pharmaceutical,Health care,Pharmaceuticals,Nanjing,1995[6],Generic drug manufacturer,,,,,,,,
Sinoenergy,Oil & gas,Exploration & production,Qingdao,2004,Natural gas,,,,,,,,
Sinopec,Oil & gas,Exploration & production,Beijing,2000,Oil company,,,,,,,,
Sinopharm Group,Health care,Pharmaceuticals,Shanghai,1998,"Pharmaceticals, traditional medicine",,,,,,,,
Sinosteel,Basic materials,Iron & steel,Beijing,1993,"Iron, steel",,,,,,,,
Sinovac Biotech,Health care,Pharmaceuticals,Beijing,1999,"Research, development, manufacture and commercialization of vaccines",,,,,,,,
Skyworth,Consumer goods,Consumer electronics,Shenzhen,1988,Consumer electronics,,,,,,,,
SmithStreetSolutions,Industrials,Business support services,Shanghai,2007,Consulting,,,,,,,,
State Grid Corporation of China,Utilities,Conventional electricity,Beijing,2002,"Former State Power, national electric company",,,,,,,,
Suning Commerce Group,Consumer services,Broadline retailers,Nanjing,1990,Retail,,,,,,,,
Suntech Power,Industrials,Electronic equipment,Wuxi,2001,Photovoltaics (solar cell) manufacturer,,,,,,,,
Suzhou Synta Optical Technology,Consumer goods,Recreational products,Suzhou,1988,"Telescopes, optics, part of Synta Technology Corporation of Taiwan",,,,,,,,
TCL Corporation,Consumer goods,Consumer electronics,Huizhou,1981,Consumer electronics,,,,,,,,
Telesail Technology,Telecommunications,Fixed line telecommunications,Beijing,2005,"Telecom equipment, services",,,,,,,,
Tencent,Conglomerates,"Internet services, software, entertainment, artificial intelligence, technology",Shenzhen,1998,"Internet, software, mobile phones, online advertising, online gaming",,,,,,,,
Tianan Insurance,Financials,Full line insurance,Shanghai[7],1994,Insurance,,,,,,,,
Tianjin FAW,Consumer goods,Automobiles,Tianjin,1965,Automobiles,,,,,,,,
Tongrentang,Health care,Pharmaceuticals,Beijing,1669,"Pharmaceuticals, traditional medicine",,,,,,,,
Topray Solar,Utilities,Alternative electricity,Shenzhen,1999,Solar energy,,,,,,,,
